PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25966635","Genetics of GNE myopathy in the non-Jewish Persian population","Haghighi A, Nafissi S, Qurashi A, Tan Z, Shamshiri H, Nilipour Y, Haghighi A, Desnick RJ, Kornreich R.","Eur J Hum Genet. 2016 Feb;24(2):243-51. doi: 10.1038/ejhg.2015.78. Epub 2015 May 13.","Haghighi A","Eur J Hum Genet","2016","2015/05/14","PMC4717203","","10.1038/ejhg.2015.78"
"18815882","Biochemical characterization of human and murine isoforms of UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase (GNE)","Reinke SO, Eidenschink C, Jay CM, Hinderlich S.","Glycoconj J. 2009 May;26(4):415-22. doi: 10.1007/s10719-008-9189-6. Epub 2008 Sep 23.","Reinke SO","Glycoconj J","2009","2008/09/26","","","10.1007/s10719-008-9189-6"
"24136589","Non-specific accumulation of glycosphingolipids in GNE myopathy","Patzel KA, Yardeni T, Le Poëc-Celic E, Leoyklang P, Dorward H, Alonzi DS, Kukushkin NV, Xu B, Zhang Y, Sollogoub M, Blériot Y, Gahl WA, Huizing M, Butters TD.","J Inherit Metab Dis. 2014 Mar;37(2):297-308. doi: 10.1007/s10545-013-9655-6. Epub 2013 Oct 18.","Patzel KA","J Inherit Metab Dis","2014","2013/10/19","PMC3979983","NIHMS532735","10.1007/s10545-013-9655-6"
"31701055","Rationale and Design for a Phase 1 Study of N-Acetylmannosamine for Primary Glomerular Diseases","Huizing M, Yardeni T, Fuentes F, Malicdan MCV, Leoyklang P, Volkov A, Dekel B, Brede E, Blake J, Powell A, Chatrathi H, Anikster Y, Carrillo N, Gahl WA, Kopp JB.","Kidney Int Rep. 2019 Jun 25;4(10):1454-1462. doi: 10.1016/j.ekir.2019.06.012. eCollection 2019 Oct.","Huizing M","Kidney Int Rep","2019","2019/11/09","PMC6829193","","10.1016/j.ekir.2019.06.012"
"31683584","Capsular Polysaccharide Is a Receptor of a Clostridium perfringens Bacteriophage CPS1","Ha E, Chun J, Kim M, Ryu S.","Viruses. 2019 Oct 31;11(11):1002. doi: 10.3390/v11111002.","Ha E","Viruses","2019","2019/11/06","PMC6893597","","10.3390/v11111002"
"28637129","Patient reported outcomes in GNE myopathy: incorporating a valid assessment of physical function in a rare disease","Slota C, Bevans M, Yang L, Shrader J, Joe G, Carrillo N.","Disabil Rehabil. 2018 May;40(10):1206-1213. doi: 10.1080/09638288.2017.1283712. Epub 2017 Feb 7.","Slota C","Disabil Rehabil","2018","2017/06/23","PMC6166247","NIHMS1504659","10.1080/09638288.2017.1283712"
"15136692","Distal myopathy with rimmed vacuoles (DMRV): new GNE mutations and splice variant","Tomimitsu H, Shimizu J, Ishikawa K, Ohkoshi N, Kanazawa I, Mizusawa H.","Neurology. 2004 May 11;62(9):1607-10. doi: 10.1212/01.wnl.0000123115.23652.6c.","Tomimitsu H","Neurology","2004","2004/05/12","","","10.1212/01.wnl.0000123115.23652.6c"
"30990900","Clinical utility of RNA sequencing to resolve unusual GNE myopathy with a novel promoter deletion","Chakravorty S, Berger K, Arafat D, Nallamilli BRR, Subramanian HP, Joseph S, Anderson ME, Campbell KP, Glass J, Gibson G, Hegde M.","Muscle Nerve. 2019 Jul;60(1):98-103. doi: 10.1002/mus.26486. Epub 2019 Apr 29.","Chakravorty S","Muscle Nerve","2019","2019/04/17","","","10.1002/mus.26486"
"24488768","Gne depletion during zebrafish development impairs skeletal muscle structure and function","Daya A, Vatine GD, Becker-Cohen M, Tal-Goldberg T, Friedmann A, Gothilf Y, Du SJ, Mitrani-Rosenbaum S.","Hum Mol Genet. 2014 Jul 1;23(13):3349-61. doi: 10.1093/hmg/ddu045. Epub 2014 Jan 31.","Daya A","Hum Mol Genet","2014","2014/02/04","","","10.1093/hmg/ddu045"
"24695763","Two recurrent mutations are associated with GNE myopathy in the North of Britain","Chaouch A, Brennan KM, Hudson J, Longman C, McConville J, Morrison PJ, Farrugia ME, Petty R, Stewart W, Norwood F, Horvath R, Chinnery PF, Costigan D, Winer J, Polvikoski T, Healy E, Sarkozy A, Evangelista T, Pogoryelova O, Eagle M, Bushby K, Straub V, Lochmüller H.","J Neurol Neurosurg Psychiatry. 2014 Dec;85(12):1359-65. doi: 10.1136/jnnp-2013-306314. Epub 2014 Apr 2.","Chaouch A","J Neurol Neurosurg Psychiatry","2014","2014/04/04","PMC6625961","EMS83054","10.1136/jnnp-2013-306314"
"25303967","Nationwide patient registry for GNE myopathy in Japan","Mori-Yoshimura M, Hayashi YK, Yonemoto N, Nakamura H, Murata M, Takeda S, Nishino I, Kimura E.","Orphanet J Rare Dis. 2014 Oct 11;9:150. doi: 10.1186/s13023-014-0150-4.","Mori-Yoshimura M","Orphanet J Rare Dis","2014","2014/10/12","PMC4203883","","10.1186/s13023-014-0150-4"
"23558691","Novel GNE compound heterozygous mutations in a GNE myopathy patient","Cai H, Yabe I, Shirai S, Nishimura H, Hirotani M, Kano T, Houzen H, Yoshida K, Sasaki H.","Muscle Nerve. 2013 Oct;48(4):594-8. doi: 10.1002/mus.23862. Epub 2013 Aug 30.","Cai H","Muscle Nerve","2013","2013/04/06","","","10.1002/mus.23862"
"28042944","Comparison of Serum rAAV Serotype-Specific Antibodies in Patients with Duchenne Muscular Dystrophy, Becker Muscular Dystrophy, Inclusion Body Myositis, or GNE Myopathy","Zygmunt DA, Crowe KE, Flanigan KM, Martin PT.","Hum Gene Ther. 2017 Sep;28(9):737-746. doi: 10.1089/hum.2016.141. Epub 2016 Dec 29.","Zygmunt DA","Hum Gene Ther","2017","2017/01/03","PMC5582585","","10.1089/hum.2016.141"
"12107146","Functional characterization of Gne (UDP-N-acetylglucosamine-4-epimerase), Wzz (chain length determinant), and Wzy (O-antigen polymerase) of Yersinia enterocolitica serotype O:8","Bengoechea JA, Pinta E, Salminen T, Oertelt C, Holst O, Radziejewska-Lebrecht J, Piotrowska-Seget Z, Venho R, Skurnik M.","J Bacteriol. 2002 Aug;184(15):4277-87. doi: 10.1128/jb.184.15.4277-4287.2002.","Bengoechea JA","J Bacteriol","2002","2002/07/11","PMC135196","","10.1128/jb.184.15.4277-4287.2002"
"21731727","GNE is involved in the early development of skeletal and cardiac muscle","Milman Krentsis I, Sela I, Eiges R, Blanchard V, Berger M, Becker Cohen M, Mitrani-Rosenbaum S.","PLoS One. 2011;6(6):e21389. doi: 10.1371/journal.pone.0021389. Epub 2011 Jun 24.","Milman Krentsis I","PLoS One","2011","2011/07/07","PMC3123316","","10.1371/journal.pone.0021389"
"23127962","Respiratory dysfunction in patients severely affected by GNE myopathy (distal myopathy with rimmed vacuoles)","Mori-Yoshimura M, Oya Y, Hayashi YK, Noguchi S, Nishino I, Murata M.","Neuromuscul Disord. 2013 Jan;23(1):84-8. doi: 10.1016/j.nmd.2012.09.007. Epub 2012 Nov 2.","Mori-Yoshimura M","Neuromuscul Disord","2013","2012/11/07","","","10.1016/j.nmd.2012.09.007"
"31135625","Non-GNE Quadriceps Sparing Distal Myopathy in an Iranian Jewish Patient","Mishra SK, Valles-Ayoub Y, Darvish D, Khosa S, Moheb N, Trikamji B, Rafiei N, Freundlich R.","J Clin Neuromuscul Dis. 2019 Jun;20(4):210-213. doi: 10.1097/CND.0000000000000231.","Mishra SK","J Clin Neuromuscul Dis","2019","2019/05/29","","","10.1097/CND.0000000000000231"
"29764940","The tetrameric structure of sialic acid-synthesizing UDP-GlcNAc 2-epimerase from Acinetobacter baumannii: A comparative study with human GNE","Ko TP, Lai SJ, Hsieh TJ, Yang CS, Chen Y.","J Biol Chem. 2018 Jun 29;293(26):10119-10127. doi: 10.1074/jbc.RA118.001971. Epub 2018 May 15.","Ko TP","J Biol Chem","2018","2018/05/17","PMC6028959","","10.1074/jbc.RA118.001971"
"22231866","Muscle imaging findings in GNE myopathy","Tasca G, Ricci E, Monforte M, Laschena F, Ottaviani P, Rodolico C, Barca E, Silvestri G, Iannaccone E, Mirabella M, Broccolini A.","J Neurol. 2012 Jul;259(7):1358-65. doi: 10.1007/s00415-011-6357-6. Epub 2012 Jan 10.","Tasca G","J Neurol","2012","2012/01/11","","","10.1007/s00415-011-6357-6"
"30112071","Distal myopathy with rimmed vacuoles: Spectrum of GNE gene mutations in seven Chinese patients","Su F, Miao J, Liu X, Wei X, Yu X.","Exp Ther Med. 2018 Aug;16(2):1505-1512. doi: 10.3892/etm.2018.6344. Epub 2018 Jun 22.","Su F","Exp Ther Med","2018","2018/08/17","PMC6090448","","10.3892/etm.2018.6344"
"32419263","Differential diagnosis of vacuolar myopathies in the NGS era","Mair D, Biskup S, Kress W, Abicht A, Brück W, Zechel S, Knop KC, Koenig FB, Tey S, Nikolin S, Eggermann K, Kurth I, Ferbert A, Weis J.","Brain Pathol. 2020 Sep;30(5):877-896. doi: 10.1111/bpa.12864. Epub 2020 Jun 15.","Mair D","Brain Pathol","2020","2020/05/19","","","10.1111/bpa.12864"
"28615891","Limb-girdle Muscular Dystrophies in India: A Review","Khadilkar SV, Faldu HD, Patil SB, Singh R.","Ann Indian Acad Neurol. 2017 Apr-Jun;20(2):87-95. doi: 10.4103/aian.AIAN_81_17.","Khadilkar SV","Ann Indian Acad Neurol","2017","2017/06/16","PMC5470147","","10.4103/aian.AIAN_81_17"
"22633753","Sustained expression and safety of human GNE in normal mice after gene transfer based on AAV8 systemic delivery","Mitrani-Rosenbaum S, Yakovlev L, Becker Cohen M, Telem M, Elbaz M, Yanay N, Yotvat H, Ben Shlomo U, Harazi A, Fellig Y, Argov Z, Sela I.","Neuromuscul Disord. 2012 Nov;22(11):1015-24. doi: 10.1016/j.nmd.2012.03.013. Epub 2012 May 25.","Mitrani-Rosenbaum S","Neuromuscul Disord","2012","2012/05/29","","","10.1016/j.nmd.2012.03.013"
"26035587","Skeletal Muscle in Healthy Subjects versus Those with GNE-Related Myopathy: Evaluation with Shear-Wave US--A Pilot Study","Carpenter EL, Lau HA, Kolodny EH, Adler RS.","Radiology. 2015 Nov;277(2):546-54. doi: 10.1148/radiol.2015142212. Epub 2015 Jun 2.","Carpenter EL","Radiology","2015","2015/06/03","","","10.1148/radiol.2015142212"
"25149037","Hereditary inclusion-body myopathies","Broccolini A, Mirabella M.","Biochim Biophys Acta. 2015 Apr;1852(4):644-50. doi: 10.1016/j.bbadis.2014.08.007. Epub 2014 Aug 19.","Broccolini A","Biochim Biophys Acta","2015","2014/08/24","","","10.1016/j.bbadis.2014.08.007"
"28424265","Effects of altered sialic acid biosynthesis on N-linked glycan branching and cell surface interactions","Pham ND, Pang PC, Krishnamurthy S, Wands AM, Grassi P, Dell A, Haslam SM, Kohler JJ.","J Biol Chem. 2017 Jun 9;292(23):9637-9651. doi: 10.1074/jbc.M116.764597. Epub 2017 Apr 19.","Pham ND","J Biol Chem","2017","2017/04/21","PMC5465488","","10.1074/jbc.M116.764597"
"27298745","GNE Myopathy in Turkish Sisters with a Novel Homozygous Mutation","Diniz G, Secil Y, Ceylaner S, Tokucoglu F, Türe S, Celebisoy M, İncesu TK, Akhan G.","Case Rep Neurol Med. 2016;2016:8647645. doi: 10.1155/2016/8647645. Epub 2016 May 19.","Diniz G","Case Rep Neurol Med","2016","2016/06/15","PMC4889787","","10.1155/2016/8647645"
"16847058","Roles for UDP-GlcNAc 2-epimerase/ManNAc 6-kinase outside of sialic acid biosynthesis: modulation of sialyltransferase and BiP expression, GM3 and GD3 biosynthesis, proliferation, and apoptosis, and ERK1/2 phosphorylation","Wang Z, Sun Z, Li AV, Yarema KJ.","J Biol Chem. 2006 Sep 15;281(37):27016-28. doi: 10.1074/jbc.M604903200. Epub 2006 Jul 17.","Wang Z","J Biol Chem","2006","2006/07/19","","","10.1074/jbc.M604903200"
"21616910","The mysterious evolutionary origin for the GNE gene and the root of bilateria","de Mendoza A, Ruiz-Trillo I.","Mol Biol Evol. 2011 Nov;28(11):2987-91. doi: 10.1093/molbev/msr142. Epub 2011 May 25.","de Mendoza A","Mol Biol Evol","2011","2011/05/28","PMC4342547","EMS62121","10.1093/molbev/msr142"
"25510413","Survival-apoptosis associated signaling in GNE myopathy-cultured myoblasts","Harazi A, Chaouat M, Shlomai Z, Levitzki R, Becker-Cohen M, Sadeh M, Dabby R, Ben-Bassat H, Mitrani-Rosenbaum S.","J Recept Signal Transduct Res. 2015;35(4):249-57. doi: 10.3109/10799893.2014.956755. Epub 2014 Dec 16.","Harazi A","J Recept Signal Transduct Res","2015","2014/12/17","","","10.3109/10799893.2014.956755"
"24474513","Role of UDP-N-acetylglucosamine2-epimerase/N-acetylmannosamine kinase (GNE) in β1-integrin-mediated cell adhesion","Grover S, Arya R.","Mol Neurobiol. 2014 Oct;50(2):257-73. doi: 10.1007/s12035-013-8604-6. Epub 2014 Jan 29.","Grover S","Mol Neurobiol","2014","2014/01/30","","","10.1007/s12035-013-8604-6"
"28895049","Mutation in GNE Downregulates Peroxiredoxin IV Altering ER Redox Homeostasis","Chanana P, Padhy G, Bhargava K, Arya R.","Neuromolecular Med. 2017 Dec;19(4):525-540. doi: 10.1007/s12017-017-8467-5. Epub 2017 Sep 11.","Chanana P","Neuromolecular Med","2017","2017/09/13","","","10.1007/s12017-017-8467-5"
"19917666","Molecular modeling of the bifunctional enzyme UDP-GlcNAc 2-epimerase/ManNAc kinase and predictions of structural effects of mutations associated with HIBM and sialuria","Kurochkina N, Yardeni T, Huizing M.","Glycobiology. 2010 Mar;20(3):322-37. doi: 10.1093/glycob/cwp176. Epub 2009 Nov 16.","Kurochkina N","Glycobiology","2010","2009/11/18","PMC2815652","","10.1093/glycob/cwp176"
"25062695","Sialyllactose ameliorates myopathic phenotypes in symptomatic GNE myopathy model mice","Yonekawa T, Malicdan MC, Cho A, Hayashi YK, Nonaka I, Mine T, Yamamoto T, Nishino I, Noguchi S.","Brain. 2014 Oct;137(Pt 10):2670-9. doi: 10.1093/brain/awu210. Epub 2014 Jul 24.","Yonekawa T","Brain","2014","2014/07/27","PMC4172045","","10.1093/brain/awu210"
"24285971","A Case of GNE Myopathy Presenting a Rapid Deterioration during Pregnancy","Sim JE, Hong JM, Suh GI, Cho H, Park KS, Sohn EH, Choi YC.","J Clin Neurol. 2013 Oct;9(4):280-2. doi: 10.3988/jcn.2013.9.4.280. Epub 2013 Oct 31.","Sim JE","J Clin Neurol","2013","2013/11/29","PMC3840140","","10.3988/jcn.2013.9.4.280"
"23496965","Cell stress molecules in the skeletal muscle of GNE myopathy","Fischer C, Kleinschnitz K, Wrede A, Muth I, Kruse N, Nishino I, Schmidt J.","BMC Neurol. 2013 Mar 12;13:24. doi: 10.1186/1471-2377-13-24.","Fischer C","BMC Neurol","2013","2013/03/19","PMC3616993","","10.1186/1471-2377-13-24"
"26231298","GNE myopathy in Roma patients homozygous for the p.I618T founder mutation","Chamova T, Guergueltcheva V, Gospodinova M, Krause S, Cirak S, Kaprelyan A, Angelova L, Mihaylova V, Bichev S, Chandler D, Naydenov E, Grudkova M, Djukmedzhiev P, Voit T, Pogoryelova O, Lochmüller H, Goebel HH, Bahlo M, Kalaydjieva L, Tournev I.","Neuromuscul Disord. 2015 Sep;25(9):713-8. doi: 10.1016/j.nmd.2015.07.004. Epub 2015 Jul 13.","Chamova T","Neuromuscul Disord","2015","2015/08/02","","","10.1016/j.nmd.2015.07.004"
"32478919","Myopathies with finger flexor weakness: Not only inclusion-body myositis","Nicolau S, Liewluck T, Milone M.","Muscle Nerve. 2020 Oct;62(4):445-454. doi: 10.1002/mus.26914. Epub 2020 Jun 1.","Nicolau S","Muscle Nerve","2020","2020/06/02","","","10.1002/mus.26914"
"17118363","The collapsin response mediator protein 1 (CRMP-1) and the promyelocytic leukemia zinc finger protein (PLZF) bind to UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase (GNE), the key enzyme of sialic acid biosynthesis","Weidemann W, Stelzl U, Lisewski U, Bork K, Wanker EE, Hinderlich S, Horstkorte R.","FEBS Lett. 2006 Dec 11;580(28-29):6649-54. doi: 10.1016/j.febslet.2006.11.015. Epub 2006 Nov 14.","Weidemann W","FEBS Lett","2006","2006/11/23","","","10.1016/j.febslet.2006.11.015"
"23266873","Murine isoforms of UDP-GlcNAc 2-epimerase/ManNAc kinase: Secondary structures, expression profiles, and response to ManNAc therapy","Yardeni T, Jacobs K, Niethamer TK, Ciccone C, Anikster Y, Kurochkina N, Gahl WA, Huizing M.","Glycoconj J. 2013 Aug;30(6):609-18. doi: 10.1007/s10719-012-9459-1. Epub 2012 Dec 25.","Yardeni T","Glycoconj J","2013","2012/12/26","PMC3622838","NIHMS431353","10.1007/s10719-012-9459-1"
"17698786","GNE protein expression and subcellular distribution are unaltered in HIBM","Krause S, Aleo A, Hinderlich S, Merlini L, Tournev I, Walter MC, Argov Z, Mitrani-Rosenbaum S, Lochmüller H.","Neurology. 2007 Aug 14;69(7):655-9. doi: 10.1212/01.wnl.0000267426.97138.fd.","Krause S","Neurology","2007","2007/08/19","","","10.1212/01.wnl.0000267426.97138.fd"
"21517694","Hereditary inclusion body myopathy: single patient response to intravenous dosing of GNE gene lipoplex","Nemunaitis G, Jay CM, Maples PB, Gahl WA, Huizing M, Yardeni T, Tong AW, Phadke AP, Pappen BO, Bedell C, Allen H, Hernandez C, Templeton NS, Kuhn J, Senzer N, Nemunaitis J.","Hum Gene Ther. 2011 Nov;22(11):1331-41. doi: 10.1089/hum.2010.192. Epub 2011 Apr 25.","Nemunaitis G","Hum Gene Ther","2011","2011/04/27","PMC3225042","","10.1089/hum.2010.192"
"26911292","Genetic Myopathies Initially Diagnosed and Treated as Inflammatory Myopathy","Tarnopolsky MA, Hatcher E, Shupak R.","Can J Neurol Sci. 2016 May;43(3):381-4. doi: 10.1017/cjn.2015.386. Epub 2016 Feb 25.","Tarnopolsky MA","Can J Neurol Sci","2016","2016/02/26","","","10.1017/cjn.2015.386"
"28099567","Muscle biopsy with dystrophic pattern and rimmed vacuoles: GNE myopathy in a Brazilian patient","Estephan EP, Moreno CAM, Silva AMS, Mendonça RH, Abath Neto O, Nishimura PY, Galindo LT, Zanoteli E.","Arq Neuropsiquiatr. 2017 Jan;75(1):72-73. doi: 10.1590/0004-282X20160171.","Estephan EP","Arq Neuropsiquiatr","2017","2017/01/19","","","10.1590/0004-282X20160171"
"27858732","Novel Pathogenic Variants in a French Cohort Widen the Mutational Spectrum of GNE Myopathy","Cerino M, Gorokhova S, Béhin A, Urtizberea JA, Kergourlay V, Salvo E, Bernard R, Lévy N, Bartoli M, Krahn M.","J Neuromuscul Dis. 2015 Jun 4;2(2):131-136. doi: 10.3233/JND-150074.","Cerino M","J Neuromuscul Dis","2015","2016/11/19","PMC5278624","","10.3233/JND-150074"
"24264357","Correction of the Middle Eastern M712T mutation causing GNE myopathy by trans-splicing","Tal-Goldberg T, Lorain S, Mitrani-Rosenbaum S.","Neuromolecular Med. 2014 Jun;16(2):322-31. doi: 10.1007/s12017-013-8278-2. Epub 2013 Nov 22.","Tal-Goldberg T","Neuromolecular Med","2014","2013/11/23","","","10.1007/s12017-013-8278-2"
"15676110","Distal myopathy with rimmed vacuoles and hereditary inclusion body myopathy","Nonaka I, Noguchi S, Nishino I.","Curr Neurol Neurosci Rep. 2005 Feb;5(1):61-5. doi: 10.1007/s11910-005-0025-0.","Nonaka I","Curr Neurol Neurosci Rep","2005","2005/01/29","","","10.1007/s11910-005-0025-0"
"18555875","[Distal myopathy due to mutations of GNE gene: clinical spectrum and diagnosis]","Béhin A, Dubourg O, Laforêt P, Pêcheux C, Bernard R, Lévy N, Eymard B.","Rev Neurol (Paris). 2008 May;164(5):434-43. doi: 10.1016/j.neurol.2008.02.040. Epub 2008 Apr 15.","Béhin A","Rev Neurol (Paris)","2008","2008/06/17","","","10.1016/j.neurol.2008.02.040"
"23842869","UDP-GlcNAc 2-Epimerase/ManNAc Kinase (GNE): A Master Regulator of Sialic Acid Synthesis","Hinderlich S, Weidemann W, Yardeni T, Horstkorte R, Huizing M.","Top Curr Chem. 2015;366:97-137. doi: 10.1007/128_2013_464.","Hinderlich S","Top Curr Chem","2015","2013/07/12","PMC4161665","NIHMS624364","10.1007/128_2013_464"
"19787087","Preclinical assessment of wt GNE gene plasmid for management of hereditary inclusion body myopathy 2 (HIBM2)","Jay C, Nemunaitis G, Nemunaitis J, Senzer N, Hinderlich S, Darvish D, Ogden J, Eager J, Tong A, Maples PB.","Gene Regul Syst Bio. 2008 Jun 20;2:243-52. doi: 10.4137/grsb.s728.","Jay C","Gene Regul Syst Bio","2008","2009/09/30","PMC2733101","","10.4137/grsb.s728"
"15034479","[Distal myopathies]","Pénisson-Besnier I.","Rev Neurol (Paris). 2004 Feb;160(2):211-6. doi: 10.1016/s0035-3787(04)70893-0.","Pénisson-Besnier I","Rev Neurol (Paris)","2004","2004/03/23","","","10.1016/s0035-3787(04)70893-0"
"12921793","Clinical and genetic heterogeneity in chromosome 9p associated hereditary inclusion body myopathy: exclusion of GNE and three other candidate genes","Watts GD, Thorne M, Kovach MJ, Pestronk A, Kimonis VE.","Neuromuscul Disord. 2003 Sep;13(7-8):559-67. doi: 10.1016/s0960-8966(03)00070-1.","Watts GD","Neuromuscul Disord","2003","2003/08/19","","","10.1016/s0960-8966(03)00070-1"
"18227162","Vibrio vulnificus biotype 2 serovar E gne but not galE is essential for lipopolysaccharide biosynthesis and virulence","Valiente E, Jiménez N, Merino S, Tomás JM, Amaro C.","Infect Immun. 2008 Apr;76(4):1628-38. doi: 10.1128/IAI.01393-07. Epub 2008 Jan 28.","Valiente E","Infect Immun","2008","2008/01/30","PMC2292876","","10.1128/IAI.01393-07"
"26980148","Mechanism and inhibition of human UDP-GlcNAc 2-epimerase, the key enzyme in sialic acid biosynthesis","Chen SC, Huang CH, Lai SJ, Yang CS, Hsiao TH, Lin CH, Fu PK, Ko TP, Chen Y.","Sci Rep. 2016 Mar 16;6:23274. doi: 10.1038/srep23274.","Chen SC","Sci Rep","2016","2016/03/17","PMC4793188","","10.1038/srep23274"
"17098903","Role of Gne and GalE in the virulence of Aeromonas hydrophila serotype O34","Canals R, Jiménez N, Vilches S, Regué M, Merino S, Tomás JM.","J Bacteriol. 2007 Jan;189(2):540-50. doi: 10.1128/JB.01260-06. Epub 2006 Nov 10.","Canals R","J Bacteriol","2007","2006/11/14","PMC1797372","","10.1128/JB.01260-06"
"24291843","[Inclusion body myopathy with Paget's disease of bone and frontotemporal dementia]","Hayashi Y.","Rinsho Shinkeigaku. 2013;53(11):947-50. doi: 10.5692/clinicalneurol.53.947.","Hayashi Y","Rinsho Shinkeigaku","2013","2013/12/03","","","10.5692/clinicalneurol.53.947"
"24656604","GNE myopathy: a prospective natural history study of disease progression","Mori-Yoshimura M, Oya Y, Yajima H, Yonemoto N, Kobayashi Y, Hayashi YK, Noguchi S, Nishino I, Murata M.","Neuromuscul Disord. 2014 May;24(5):380-6. doi: 10.1016/j.nmd.2014.02.008. Epub 2014 Feb 28.","Mori-Yoshimura M","Neuromuscul Disord","2014","2014/03/25","","","10.1016/j.nmd.2014.02.008"
"25123033","Sialylation of Thomsen-Friedenreich antigen is a noninvasive blood-based biomarker for GNE myopathy","Leoyklang P, Malicdan MC, Yardeni T, Celeste F, Ciccone C, Li X, Jiang R, Gahl WA, Carrillo-Carrasco N, He M, Huizing M.","Biomark Med. 2014;8(5):641-52. doi: 10.2217/bmm.14.2.","Leoyklang P","Biomark Med","2014","2014/08/16","PMC4160177","NIHMS624362","10.2217/bmm.14.2"
"18646567","Perspectives on distal myopathy with rimmed vacuoles or hereditary inclusion body myopathy: contributions from an animal model. Lack of sialic acid, a central determinant in sugar chains, causes myopathy?","Malicdan MC, Noguchi S, Nishino I.","Acta Myol. 2007 Dec;26(3):171-5.","Malicdan MC","Acta Myol","2007","2008/07/24","PMC2949308","",""
"23238814","Variable phenotypes of knockin mice carrying the M712T Gne mutation","Sela I, Yakovlev L, Becker Cohen M, Elbaz M, Yanay N, Ben Shlomo U, Yotvat H, Fellig Y, Argov Z, Mitrani-Rosenbaum S.","Neuromolecular Med. 2013 Mar;15(1):180-91. doi: 10.1007/s12017-012-8209-7. Epub 2012 Dec 13.","Sela I","Neuromolecular Med","2013","2012/12/15","","","10.1007/s12017-012-8209-7"
"26721333","Genetic defects in the hexosamine and sialic acid biosynthesis pathway","Willems AP, van Engelen BG, Lefeber DJ.","Biochim Biophys Acta. 2016 Aug;1860(8):1640-54. doi: 10.1016/j.bbagen.2015.12.017. Epub 2015 Dec 22.","Willems AP","Biochim Biophys Acta","2016","2016/01/02","","","10.1016/j.bbagen.2015.12.017"
"22049060","Loss of UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase (GNE) induces apoptotic processes in pancreatic carcinoma cells","Kemmner W, Kessel P, Sanchez-Ruderisch H, Möller H, Hinderlich S, Schlag PM, Detjen K.","FASEB J. 2012 Feb;26(2):938-46. doi: 10.1096/fj.11-186700. Epub 2011 Nov 2.","Kemmner W","FASEB J","2012","2011/11/04","","","10.1096/fj.11-186700"
"19618441","Hereditary inclusion-body myopathy: clues on pathogenesis and possible therapy","Broccolini A, Gidaro T, Morosetti R, Mirabella M.","Muscle Nerve. 2009 Sep;40(3):340-9. doi: 10.1002/mus.21385.","Broccolini A","Muscle Nerve","2009","2009/07/21","","","10.1002/mus.21385"
"32676364","Relationship between markers of disease activity and progression in skeletal muscle of GNE myopathy patients using quantitative nuclear magnetic resonance imaging and (31)P nuclear magnetic resonance spectroscopy","Reyngoudt H, Marty B, Caldas de Almeida Araújo E, Baudin PY, Le Louër J, Boisserie JM, Béhin A, Servais L, Gidaro T, Carlier PG.","Quant Imaging Med Surg. 2020 Jul;10(7):1450-1464. doi: 10.21037/qims-20-39.","Reyngoudt H","Quant Imaging Med Surg","2020","2020/07/18","PMC7358411","","10.21037/qims-20-39"
"23437777","Novel GNE mutations in autosomal recessive hereditary inclusion body myopathy patients","No D, Valles-Ayoub Y, Carbajo R, Khokher Z, Sandoval L, Stein B, Tarnopolsky MA, Mozaffar T, Darvish B, Pietruszka M, Darvish D.","Genet Test Mol Biomarkers. 2013 May;17(5):376-82. doi: 10.1089/gtmb.2012.0408. Epub 2013 Feb 25.","No D","Genet Test Mol Biomarkers","2013","2013/02/27","","","10.1089/gtmb.2012.0408"
"16550921","Molecular pathomechanism of distal myopathy with rimmed vacuoles","Nishino I, Malicdan MC, Murayama K, Nonaka I, Hayashi YK, Noguchi S.","Acta Myol. 2005 Oct;24(2):80-3.","Nishino I","Acta Myol","2005","2006/03/23","","",""
"20030229","[Development of therapy for distal myopathy with rimmed vacuoles]","Nishino I, Malicdan MC, Noguchi S.","Rinsho Shinkeigaku. 2009 Nov;49(11):852-5. doi: 10.5692/clinicalneurol.49.852.","Nishino I","Rinsho Shinkeigaku","2009","2009/12/25","","","10.5692/clinicalneurol.49.852"
"29307446","GNE myopathy caused by a synonymous mutation leading to aberrant mRNA splicing","Zhu W, Eto M, Mitsuhashi S, Takata K, Beck G, Sumi-Akamaru H, Mochizuki H, Sakoda S, Takahashi MP, Nishino I.","Neuromuscul Disord. 2018 Feb;28(2):154-157. doi: 10.1016/j.nmd.2017.11.003. Epub 2017 Nov 22.","Zhu W","Neuromuscul Disord","2018","2018/01/09","","","10.1016/j.nmd.2017.11.003"
"23196566","[Sialic acid supplementation therapy for distal myopathy with rimmed vacuoles (GNE myopathy)]","Nishino I, Noguchi S.","Rinsho Shinkeigaku. 2012;52(11):1210-2. doi: 10.5692/clinicalneurol.52.1210.","Nishino I","Rinsho Shinkeigaku","2012","2012/12/01","","","10.5692/clinicalneurol.52.1210"
